Pass Cmp,Pass Att,Pass Yds,Pass TD,Int,Sk,Rush Att,Rush Yds,Rush TD,FGM,FGA,Def TD,Opp Pass Cmp,Opp Pass Att,Opp Pass Yds,Opp Pass TD,Opp Int,Opp Sk,Opp Rush Att,Opp Rush Yds,Opp Rush TD,Opp FGM,Opp FGA,Opp Def TD
15,25,155,1,1,1,33,147,2,0,0,1,28,44,285,2,2,3,17,72,0,0,1,0
28,45,307,2,0,1,32,92,1,3,4,1,21,39,285,3,1,2,20,68,0,2,2,0
17,26,106,2,1,5,24,96,0,0,1,0,14,24,109,0,1,4,34,157,2,2,3,0
19,29,183,1,1,1,29,149,2,0,0,0,23,42,216,1,1,1,28,141,0,2,2,0
10,31,134,0,3,5,18,64,1,1,1,0,27,31,204,1,0,2,39,111,2,2,2,1
23,32,289,2,0,2,24,105,1,5,6,0,11,21,85,1,1,2,39,270,1,0,1,0
19,30,194,1,0,1,27,70,0,2,3,0,14,31,124,0,3,1,33,208,1,0,0,0
18,37,222,1,0,3,17,40,0,1,2,0,20,32,155,1,4,2,43,148,0,3,3,0
21,33,256,2,1,1,18,67,1,0,0,1,17,26,215,1,1,2,39,208,3,2,3,0
20,31,233,2,0,2,12,34,0,0,0,0,27,35,219,1,1,1,43,152,1,1,1,0
26,40,231,1,1,1,24,146,1,2,2,1,19,41,252,2,4,2,26,153,0,1,2,0
30,41,259,0,0,5,23,121,1,1,1,1,38,51,368,4,1,0,17,57,0,1,1,0
26,41,217,2,4,3,27,112,1,0,0,0,11,15,120,2,0,1,35,137,2,2,2,0
24,40,260,1,2,6,25,96,2,1,1,0,26,35,284,3,1,4,22,79,1,2,2,1
25,41,272,3,1,3,27,100,0,3,3,0,30,41,326,2,0,3,27,100,1,3,3,0
16,22,151,1,0,1,48,238,3,1,2,0,11,27,57,0,1,4,19,84,0,0,0,0
22,40,250,1,2,1,31,154,0,1,1,0,15,29,178,0,1,1,24,89,1,3,3,1
30,41,229,2,0,2,25,68,0,2,3,0,23,44,159,0,1,3,17,91,0,3,4,0
23,38,211,2,1,2,17,70,1,0,0,0,20,25,233,2,0,2,41,185,1,4,4,0
21,31,236,2,0,1,25,85,0,2,2,0,23,37,219,1,1,7,25,107,1,2,2,0
28,38,234,0,0,2,16,76,1,3,3,0,23,30,186,2,1,1,30,112,0,1,1,0
16,28,136,0,0,2,25,61,1,0,0,0,26,38,290,3,0,1,27,128,1,3,3,0
30,37,181,2,1,4,27,146,2,0,1,0,20,30,294,2,2,1,25,71,1,1,1,0
15,30,131,1,0,2,25,99,0,1,2,0,2,3,19,0,0,0,46,222,1,2,2,0
14,31,216,2,2,0,36,242,2,3,4,0,28,40,269,3,1,5,24,106,1,0,1,0
19,28,190,1,0,0,36,128,1,3,3,1,21,35,243,1,2,1,26,91,2,0,0,0
25,34,311,2,0,5,26,86,0,3,4,0,27,41,255,2,0,5,23,100,1,2,3,0
22,32,190,2,1,0,29,100,0,1,2,1,31,42,271,1,0,4,23,118,1,3,3,0
18,25,174,2,0,1,39,184,3,1,1,0,24,39,198,1,1,2,21,118,0,1,1,0
18,33,210,2,2,2,23,137,0,3,3,1,29,37,320,4,0,3,24,119,1,1,1,1
33,49,317,1,0,2,25,63,0,2,2,0,17,28,260,2,0,0,29,193,2,2,2,0
20,24,240,2,0,3,30,132,3,2,2,1,33,45,246,1,1,4,12,44,0,1,1,0
15,21,141,0,0,3,44,203,3,3,3,0,19,42,178,0,0,3,17,78,0,3,3,0
24,40,184,0,4,3,8,8,0,0,0,0,20,31,161,0,0,4,34,102,2,2,3,0
17,37,181,2,1,2,26,135,1,0,0,0,23,31,271,3,0,2,37,152,1,3,3,0
36,54,293,2,1,3,19,173,1,2,2,0,31,46,351,2,0,2,29,137,2,2,2,0
22,39,201,1,2,4,35,122,0,4,4,1,15,34,124,1,1,5,23,100,1,0,0,1
32,49,344,0,2,4,22,103,2,3,3,0,23,30,267,3,0,3,21,89,0,3,3,0
